trial,type,target.direction,mov.direction,cursor.rotation,force.field,target.type
1,active,0,0,0,curl,point
2,active,0,0,0,curl,point
3,active,0,0,0,curl,point
4,active,0,0,0,curl,point
5,active,0,0,0,curl,point
6,active,0,0,0,curl,point
7,active,0,0,0,curl,point
8,active,0,0,0,curl,point
9,active,0,0,0,curl,point
10,active,0,0,0,curl,point
11,active,0,0,0,curl,point
12,active,0,0,0,curl,point
13,active,0,0,0,curl,point
14,active,0,0,0,curl,point
15,active,0,0,0,curl,point
16,active,0,0,0,curl,point
17,active,0,0,0,curl,point
18,active,0,0,0,curl,point
19,active,0,0,0,curl,point
20,active,0,0,0,curl,point
21,active,0,0,0,curl,point
22,active,0,0,0,curl,point
23,active,0,0,0,curl,point
24,active,0,0,0,curl,point
25,active,0,0,0,curl,point
